REF_DATE,GEO,Age,Sex,Indicators,VALUE
2015,Canada (excluding territories),"Total, 12 years and over",Both sexes,"Perceived health, very good or excellent",61.9
2015,Canada (excluding territories),"Total, 12 years and over",Both sexes,"Perceived health, fair or poor",10.7
2015,Canada (excluding territories),"Total, 12 years and over",Both sexes,"Perceived mental health, very good or excellent",72.4
2015,Canada (excluding territories),"Total, 12 years and over",Both sexes,"Perceived mental health, fair or poor",5.9
2015,Canada (excluding territories),"Total, 12 years and over",Both sexes,"Perceived life stress, most days quite a bit or extremely stressful",21.4
2015,Canada (excluding territories),"Total, 12 years and over",Both sexes,"Body mass index, adjusted self-reported, adult (18 years and over), overweight",35.8
2015,Canada (excluding territories),"Total, 12 years and over",Both sexes,"Body mass index, adjusted self-reported, adult (18 years and over), obese",26.1
2015,Canada (excluding territories),"Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese",24.5
2015,Canada (excluding territories),"Total, 12 years and over",Both sexes,Arthritis (15 years and over),20.4
2015,Canada (excluding territories),"Total, 12 years and over",Both sexes,Diabetes,6.9
2015,Canada (excluding territories),"Total, 12 years and over",Both sexes,Asthma,8.6
2015,Canada (excluding territories),"Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD; 35 years and over),4.4
2015,Canada (excluding territories),"Total, 12 years and over",Both sexes,High blood pressure,16.9
2015,Canada (excluding territories),"Total, 12 years and over",Both sexes,Mood disorder,7.9
2015,Canada (excluding territories),"Total, 12 years and over",Both sexes,"Current smoker, daily or occasional",17.7
2015,Canada (excluding territories),"Total, 12 years and over",Both sexes,"Current smoker, daily",12.6
2015,Canada (excluding territories),"Total, 12 years and over",Both sexes,Heavy drinking,19.2
2015,Canada (excluding territories),"Total, 12 years and over",Both sexes,"Self-reported physical activity, 150 minutes per week, adult (18 years and over)",56.9
2015,Canada (excluding territories),"Total, 12 years and over",Both sexes,"Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)",59.4
2015,Canada (excluding territories),"Total, 12 years and over",Both sexes,Breast milk feeding initiation,90.1
2015,Canada (excluding territories),"Total, 12 years and over",Both sexes,"Exclusive breastfeeding, at least 6 months",32.3
2015,Canada (excluding territories),"Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day",31.5
2015,Canada (excluding territories),"Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong",68
2015,Canada (excluding territories),"Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied",93.2
2015,Canada (excluding territories),"Total, 12 years and over",Both sexes,Has a regular healthcare provider,83.2
2015,Canada (excluding territories),"Total, 12 years and over",Both sexes,Contact with a medical doctor in the past 12 months,73.1
2015,Canada (excluding territories),"Total, 12 years and over",Both sexes,Influenza immunization in the past 12 months,33.3
2015,Canada (excluding territories),"Total, 12 years and over",Males,"Perceived health, very good or excellent",62.8
2015,Canada (excluding territories),"Total, 12 years and over",Males,"Perceived health, fair or poor",10.4
2015,Canada (excluding territories),"Total, 12 years and over",Males,"Perceived mental health, very good or excellent",74.5
2015,Canada (excluding territories),"Total, 12 years and over",Males,"Perceived mental health, fair or poor",5
2015,Canada (excluding territories),"Total, 12 years and over",Males,"Perceived life stress, most days quite a bit or extremely stressful",19.8
2015,Canada (excluding territories),"Total, 12 years and over",Males,"Body mass index, adjusted self-reported, adult (18 years and over), overweight",40.5
2015,Canada (excluding territories),"Total, 12 years and over",Males,"Body mass index, adjusted self-reported, adult (18 years and over), obese",27.8
2015,Canada (excluding territories),"Total, 12 years and over",Males,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese",28.7
2015,Canada (excluding territories),"Total, 12 years and over",Males,Arthritis (15 years and over),16.8
2015,Canada (excluding territories),"Total, 12 years and over",Males,Diabetes,7.8
2015,Canada (excluding territories),"Total, 12 years and over",Males,Asthma,7.3
2015,Canada (excluding territories),"Total, 12 years and over",Males,Chronic obstructive pulmonary disease (COPD; 35 years and over),3.8
2015,Canada (excluding territories),"Total, 12 years and over",Males,High blood pressure,16.6
2015,Canada (excluding territories),"Total, 12 years and over",Males,Mood disorder,5.9
2015,Canada (excluding territories),"Total, 12 years and over",Males,"Current smoker, daily or occasional",20.4
2015,Canada (excluding territories),"Total, 12 years and over",Males,"Current smoker, daily",14.4
2015,Canada (excluding territories),"Total, 12 years and over",Males,Heavy drinking,24.1
2015,Canada (excluding territories),"Total, 12 years and over",Males,"Self-reported physical activity, 150 minutes per week, adult (18 years and over)",60.9
2015,Canada (excluding territories),"Total, 12 years and over",Males,"Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)",67.1
2015,Canada (excluding territories),"Total, 12 years and over",Males,"Fruit and vegetable consumption, 5 times or more per day",24.8
2015,Canada (excluding territories),"Total, 12 years and over",Males,"Sense of belonging to local community, somewhat strong or very strong",67.5
2015,Canada (excluding territories),"Total, 12 years and over",Males,"Life satisfaction, satisfied or very satisfied",93.4
2015,Canada (excluding territories),"Total, 12 years and over",Males,Has a regular healthcare provider,79.3
2015,Canada (excluding territories),"Total, 12 years and over",Males,Contact with a medical doctor in the past 12 months,67.7
2015,Canada (excluding territories),"Total, 12 years and over",Males,Influenza immunization in the past 12 months,30.2
2015,Canada (excluding territories),"Total, 12 years and over",Females,"Perceived health, very good or excellent",61.1
2015,Canada (excluding territories),"Total, 12 years and over",Females,"Perceived health, fair or poor",11.1
2015,Canada (excluding territories),"Total, 12 years and over",Females,"Perceived mental health, very good or excellent",70.5
2015,Canada (excluding territories),"Total, 12 years and over",Females,"Perceived mental health, fair or poor",6.7
2015,Canada (excluding territories),"Total, 12 years and over",Females,"Perceived life stress, most days quite a bit or extremely stressful",23.1
2015,Canada (excluding territories),"Total, 12 years and over",Females,"Body mass index, adjusted self-reported, adult (18 years and over), overweight",31
2015,Canada (excluding territories),"Total, 12 years and over",Females,"Body mass index, adjusted self-reported, adult (18 years and over), obese",24.5
2015,Canada (excluding territories),"Total, 12 years and over",Females,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese",20.1
2015,Canada (excluding territories),"Total, 12 years and over",Females,Arthritis (15 years and over),24
2015,Canada (excluding territories),"Total, 12 years and over",Females,Diabetes,5.9
2015,Canada (excluding territories),"Total, 12 years and over",Females,Asthma,9.8
2015,Canada (excluding territories),"Total, 12 years and over",Females,Chronic obstructive pulmonary disease (COPD; 35 years and over),5
2015,Canada (excluding territories),"Total, 12 years and over",Females,High blood pressure,17.2
2015,Canada (excluding territories),"Total, 12 years and over",Females,Mood disorder,9.9
2015,Canada (excluding territories),"Total, 12 years and over",Females,"Current smoker, daily or occasional",15
2015,Canada (excluding territories),"Total, 12 years and over",Females,"Current smoker, daily",10.9
2015,Canada (excluding territories),"Total, 12 years and over",Females,Heavy drinking,14.5
2015,Canada (excluding territories),"Total, 12 years and over",Females,"Self-reported physical activity, 150 minutes per week, adult (18 years and over)",52.9
2015,Canada (excluding territories),"Total, 12 years and over",Females,"Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)",51
2015,Canada (excluding territories),"Total, 12 years and over",Females,Breast milk feeding initiation,90.1
2015,Canada (excluding territories),"Total, 12 years and over",Females,"Exclusive breastfeeding, at least 6 months",32.3
2015,Canada (excluding territories),"Total, 12 years and over",Females,"Fruit and vegetable consumption, 5 times or more per day",38
2015,Canada (excluding territories),"Total, 12 years and over",Females,"Sense of belonging to local community, somewhat strong or very strong",68.4
2015,Canada (excluding territories),"Total, 12 years and over",Females,"Life satisfaction, satisfied or very satisfied",93
2015,Canada (excluding territories),"Total, 12 years and over",Females,Has a regular healthcare provider,86.9
2015,Canada (excluding territories),"Total, 12 years and over",Females,Contact with a medical doctor in the past 12 months,78.4
2015,Canada (excluding territories),"Total, 12 years and over",Females,Influenza immunization in the past 12 months,36.3
2015,Canada (excluding territories),12 to 17 years,Both sexes,"Perceived health, very good or excellent",72.9
2015,Canada (excluding territories),12 to 17 years,Both sexes,"Perceived health, fair or poor",3.4
2015,Canada (excluding territories),12 to 17 years,Both sexes,"Perceived mental health, very good or excellent",77.9
2015,Canada (excluding territories),12 to 17 years,Both sexes,"Perceived mental health, fair or poor",4.1
2015,Canada (excluding territories),12 to 17 years,Both sexes,"Perceived life stress, most days quite a bit or extremely stressful",12.1
2015,Canada (excluding territories),12 to 17 years,Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese",24.5
2015,Canada (excluding territories),12 to 17 years,Both sexes,Arthritis (15 years and over),0.7
2015,Canada (excluding territories),12 to 17 years,Both sexes,Diabetes,0.5
2015,Canada (excluding territories),12 to 17 years,Both sexes,Asthma,10.6
2015,Canada (excluding territories),12 to 17 years,Both sexes,Chronic obstructive pulmonary disease (COPD; 35 years and over),NA
2015,Canada (excluding territories),12 to 17 years,Both sexes,High blood pressure,0.9
2015,Canada (excluding territories),12 to 17 years,Both sexes,Mood disorder,5.3
2015,Canada (excluding territories),12 to 17 years,Both sexes,"Current smoker, daily or occasional",4.1
2015,Canada (excluding territories),12 to 17 years,Both sexes,"Current smoker, daily",1.7
2015,Canada (excluding territories),12 to 17 years,Both sexes,Heavy drinking,4.1
2015,Canada (excluding territories),12 to 17 years,Both sexes,"Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)",59.4
2015,Canada (excluding territories),12 to 17 years,Both sexes,Breast milk feeding initiation,NA
2015,Canada (excluding territories),12 to 17 years,Both sexes,"Exclusive breastfeeding, at least 6 months",NA
2015,Canada (excluding territories),12 to 17 years,Both sexes,"Fruit and vegetable consumption, 5 times or more per day",31.3
2015,Canada (excluding territories),12 to 17 years,Both sexes,"Sense of belonging to local community, somewhat strong or very strong",83.8
2015,Canada (excluding territories),12 to 17 years,Both sexes,"Life satisfaction, satisfied or very satisfied",97.7
2015,Canada (excluding territories),12 to 17 years,Both sexes,Has a regular healthcare provider,82.5
2015,Canada (excluding territories),12 to 17 years,Both sexes,Contact with a medical doctor in the past 12 months,59
2015,Canada (excluding territories),12 to 17 years,Both sexes,Influenza immunization in the past 12 months,26.9
2015,Canada (excluding territories),12 to 17 years,Males,"Perceived health, very good or excellent",71
2015,Canada (excluding territories),12 to 17 years,Males,"Perceived health, fair or poor",4.4
2015,Canada (excluding territories),12 to 17 years,Males,"Perceived mental health, very good or excellent",80.2
2015,Canada (excluding territories),12 to 17 years,Males,"Perceived mental health, fair or poor",2.8
2015,Canada (excluding territories),12 to 17 years,Males,"Perceived life stress, most days quite a bit or extremely stressful",8.7
2015,Canada (excluding territories),12 to 17 years,Males,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese",28.7
2015,Canada (excluding territories),12 to 17 years,Males,Arthritis (15 years and over),NA
2015,Canada (excluding territories),12 to 17 years,Males,Diabetes,0.7
2015,Canada (excluding territories),12 to 17 years,Males,Asthma,12.2
2015,Canada (excluding territories),12 to 17 years,Males,Chronic obstructive pulmonary disease (COPD; 35 years and over),NA
2015,Canada (excluding territories),12 to 17 years,Males,High blood pressure,0.7
2015,Canada (excluding territories),12 to 17 years,Males,Mood disorder,5.5
2015,Canada (excluding territories),12 to 17 years,Males,"Current smoker, daily or occasional",4.3
2015,Canada (excluding territories),12 to 17 years,Males,"Current smoker, daily",1.9
2015,Canada (excluding territories),12 to 17 years,Males,Heavy drinking,4.5
2015,Canada (excluding territories),12 to 17 years,Males,"Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)",67.1
2015,Canada (excluding territories),12 to 17 years,Males,"Fruit and vegetable consumption, 5 times or more per day",30.3
2015,Canada (excluding territories),12 to 17 years,Males,"Sense of belonging to local community, somewhat strong or very strong",82.5
2015,Canada (excluding territories),12 to 17 years,Males,"Life satisfaction, satisfied or very satisfied",97.8
2015,Canada (excluding territories),12 to 17 years,Males,Has a regular healthcare provider,81.4
2015,Canada (excluding territories),12 to 17 years,Males,Contact with a medical doctor in the past 12 months,57.2
2015,Canada (excluding territories),12 to 17 years,Males,Influenza immunization in the past 12 months,26.9
2015,Canada (excluding territories),12 to 17 years,Females,"Perceived health, very good or excellent",75
2015,Canada (excluding territories),12 to 17 years,Females,"Perceived health, fair or poor",2.4
