REF_DATE,GEO,Age,Sex,Indicators,VALUE
2002,Canada,"Total, 15 years and over",Both sexes,"Major depressive episode, life",12.2
2002,Canada,"Total, 15 years and over",Both sexes,"Major depressive episode, 12 months",4.8
2002,Canada,"Total, 15 years and over",Both sexes,"Cannabis use, life",41.3
2002,Canada,"Total, 15 years and over",Both sexes,"Cannabis use, 12 months",12.2
2002,Canada,"Total, 15 years and over",Both sexes,"Suicidal thoughts, life",13.4
2002,Canada,"Total, 15 years and over",Both sexes,"Suicidal thoughts, 12 months",3.7
2002,Canada,"Total, 15 years and over",Both sexes,"Perceived mental health, very good or excellent",67.1
2002,Canada,"Total, 15 years and over",Both sexes,"Perceived mental health, good",26.1
2002,Canada,"Total, 15 years and over",Both sexes,"Perceived mental health, fair or poor",6.9
2002,Canada,"Total, 15 years and over",Both sexes,"Self-rated work stress, days quite a bit or extremely stressful",30.7
2002,Canada,"Total, 15 years and over",Both sexes,"Self-rated work stress, days a bit stressful",39.1
2002,Canada,"Total, 15 years and over",Both sexes,"Self-rated work stress, days not at all or not very stressful",30.2
2002,Canada,"Total, 15 years and over",Both sexes,"Post-traumatic stress disorder, current diagnosed condition",1
2002,Canada,"Total, 15 years and over",Both sexes,"Eating disorder, current diagnosed condition",0.5
2002,Canada,"Total, 15 years and over",Males,"Major depressive episode, life",9.2
2002,Canada,"Total, 15 years and over",Males,"Major depressive episode, 12 months",3.7
2002,Canada,"Total, 15 years and over",Males,"Cannabis use, life",47
2002,Canada,"Total, 15 years and over",Males,"Cannabis use, 12 months",15.5
2002,Canada,"Total, 15 years and over",Males,"Suicidal thoughts, life",12.3
2002,Canada,"Total, 15 years and over",Males,"Suicidal thoughts, 12 months",3.6
2002,Canada,"Total, 15 years and over",Males,"Perceived mental health, very good or excellent",69
2002,Canada,"Total, 15 years and over",Males,"Perceived mental health, good",24.9
2002,Canada,"Total, 15 years and over",Males,"Perceived mental health, fair or poor",6
2002,Canada,"Total, 15 years and over",Males,"Self-rated work stress, days quite a bit or extremely stressful",28.9
2002,Canada,"Total, 15 years and over",Males,"Self-rated work stress, days a bit stressful",39.8
2002,Canada,"Total, 15 years and over",Males,"Self-rated work stress, days not at all or not very stressful",31.4
2002,Canada,"Total, 15 years and over",Males,"Post-traumatic stress disorder, current diagnosed condition",0.9
2002,Canada,"Total, 15 years and over",Males,"Eating disorder, current diagnosed condition",0.2
2002,Canada,"Total, 15 years and over",Females,"Major depressive episode, life",15.1
2002,Canada,"Total, 15 years and over",Females,"Major depressive episode, 12 months",5.9
2002,Canada,"Total, 15 years and over",Females,"Cannabis use, life",35.9
2002,Canada,"Total, 15 years and over",Females,"Cannabis use, 12 months",9.1
2002,Canada,"Total, 15 years and over",Females,"Suicidal thoughts, life",14.5
2002,Canada,"Total, 15 years and over",Females,"Suicidal thoughts, 12 months",3.8
2002,Canada,"Total, 15 years and over",Females,"Perceived mental health, very good or excellent",65.1
2002,Canada,"Total, 15 years and over",Females,"Perceived mental health, good",27.2
2002,Canada,"Total, 15 years and over",Females,"Perceived mental health, fair or poor",7.7
2002,Canada,"Total, 15 years and over",Females,"Self-rated work stress, days quite a bit or extremely stressful",32.8
2002,Canada,"Total, 15 years and over",Females,"Self-rated work stress, days a bit stressful",38.3
2002,Canada,"Total, 15 years and over",Females,"Self-rated work stress, days not at all or not very stressful",28.9
2002,Canada,"Total, 15 years and over",Females,"Post-traumatic stress disorder, current diagnosed condition",1.2
2002,Canada,"Total, 15 years and over",Females,"Eating disorder, current diagnosed condition",0.8
2002,Canada,15 to 24 years,Both sexes,"Major depressive episode, life",10.2
2002,Canada,15 to 24 years,Both sexes,"Major depressive episode, 12 months",6.4
2002,Canada,15 to 24 years,Both sexes,"Cannabis use, life",54.2
2002,Canada,15 to 24 years,Both sexes,"Cannabis use, 12 months",33.6
2002,Canada,15 to 24 years,Both sexes,"Suicidal thoughts, life",15.3
2002,Canada,15 to 24 years,Both sexes,"Suicidal thoughts, 12 months",6
2002,Canada,15 to 24 years,Both sexes,"Perceived mental health, very good or excellent",69
2002,Canada,15 to 24 years,Both sexes,"Perceived mental health, good",24.8
2002,Canada,15 to 24 years,Both sexes,"Perceived mental health, fair or poor",6.2
2002,Canada,15 to 24 years,Both sexes,"Self-rated work stress, days quite a bit or extremely stressful",21.1
2002,Canada,15 to 24 years,Both sexes,"Self-rated work stress, days a bit stressful",34.3
2002,Canada,15 to 24 years,Both sexes,"Self-rated work stress, days not at all or not very stressful",44.7
2002,Canada,15 to 24 years,Both sexes,"Post-traumatic stress disorder, current diagnosed condition",0.6
2002,Canada,15 to 24 years,Both sexes,"Eating disorder, current diagnosed condition",0.8
2002,Canada,15 to 24 years,Males,"Major depressive episode, life",6.6
2002,Canada,15 to 24 years,Males,"Major depressive episode, 12 months",4.5
2002,Canada,15 to 24 years,Males,"Cannabis use, life",56.7
2002,Canada,15 to 24 years,Males,"Cannabis use, 12 months",37.3
