REF_DATE,GEO,Gender,Indicators,VALUE
2021-04,Canada (excluding territories),"Total, all persons",Excellent or very good perceived mental health,43.4
2021-04,Canada (excluding territories),"Total, all persons",Good perceived mental health,35.3
2021-04,Canada (excluding territories),"Total, all persons",Fair or poor perceived mental health,21.3
2021-04,Canada (excluding territories),Men,Excellent or very good perceived mental health,48.5
2021-04,Canada (excluding territories),Men,Good perceived mental health,34.1
2021-04,Canada (excluding territories),Men,Fair or poor perceived mental health,17.3
2021-04,Canada (excluding territories),Women,Excellent or very good perceived mental health,38.4
2021-04,Canada (excluding territories),Women,Good perceived mental health,36.5
2021-04,Canada (excluding territories),Women,Fair or poor perceived mental health,25.1
2021-04,Atlantic Region,"Total, all persons",Excellent or very good perceived mental health,47
2021-04,Atlantic Region,"Total, all persons",Good perceived mental health,34
2021-04,Atlantic Region,"Total, all persons",Fair or poor perceived mental health,19
2021-04,Atlantic Region,Men,Excellent or very good perceived mental health,51.4
2021-04,Atlantic Region,Men,Good perceived mental health,33.9
2021-04,Atlantic Region,Men,Fair or poor perceived mental health,14.7
2021-04,Atlantic Region,Women,Excellent or very good perceived mental health,42.8
2021-04,Atlantic Region,Women,Good perceived mental health,34
2021-04,Atlantic Region,Women,Fair or poor perceived mental health,23.2
2021-04,Newfoundland and Labrador,"Total, all persons",Excellent or very good perceived mental health,46.6
2021-04,Newfoundland and Labrador,"Total, all persons",Good perceived mental health,37.2
2021-04,Newfoundland and Labrador,"Total, all persons",Fair or poor perceived mental health,16.2
2021-04,Newfoundland and Labrador,Men,Excellent or very good perceived mental health,45.4
2021-04,Newfoundland and Labrador,Men,Good perceived mental health,38.4
2021-04,Newfoundland and Labrador,Men,Fair or poor perceived mental health,16.2
2021-04,Newfoundland and Labrador,Women,Excellent or very good perceived mental health,47.8
2021-04,Newfoundland and Labrador,Women,Good perceived mental health,35.9
2021-04,Newfoundland and Labrador,Women,Fair or poor perceived mental health,16.3
2021-04,Prince Edward Island,"Total, all persons",Excellent or very good perceived mental health,48.7
2021-04,Prince Edward Island,"Total, all persons",Good perceived mental health,33.1
2021-04,Prince Edward Island,"Total, all persons",Fair or poor perceived mental health,18.1
2021-04,Prince Edward Island,Men,Excellent or very good perceived mental health,54.7
2021-04,Prince Edward Island,Men,Good perceived mental health,27.3
2021-04,Prince Edward Island,Men,Fair or poor perceived mental health,18.1
2021-04,Prince Edward Island,Women,Excellent or very good perceived mental health,43.3
2021-04,Prince Edward Island,Women,Good perceived mental health,38.5
2021-04,Prince Edward Island,Women,Fair or poor perceived mental health,18.2
2021-04,Nova Scotia,"Total, all persons",Excellent or very good perceived mental health,47
2021-04,Nova Scotia,"Total, all persons",Good perceived mental health,29.3
2021-04,Nova Scotia,"Total, all persons",Fair or poor perceived mental health,23.7
2021-04,Nova Scotia,Men,Excellent or very good perceived mental health,55.3
2021-04,Nova Scotia,Men,Good perceived mental health,28.9
2021-04,Nova Scotia,Men,Fair or poor perceived mental health,15.7
2021-04,Nova Scotia,Women,Excellent or very good perceived mental health,39.2
2021-04,Nova Scotia,Women,Good perceived mental health,29.7
2021-04,Nova Scotia,Women,Fair or poor perceived mental health,31.1
2021-04,New Brunswick,"Total, all persons",Excellent or very good perceived mental health,46.9
2021-04,New Brunswick,"Total, all persons",Good perceived mental health,37.8
2021-04,New Brunswick,"Total, all persons",Fair or poor perceived mental health,15.2
2021-04,New Brunswick,Men,Excellent or very good perceived mental health,50.1
2021-04,New Brunswick,Men,Good perceived mental health,38.2
2021-04,New Brunswick,Men,Fair or poor perceived mental health,11.7
2021-04,New Brunswick,Women,Excellent or very good perceived mental health,43.8
2021-04,New Brunswick,Women,Good perceived mental health,37.5
2021-04,New Brunswick,Women,Fair or poor perceived mental health,18.7
2021-04,Quebec,"Total, all persons",Excellent or very good perceived mental health,53
2021-04,Quebec,"Total, all persons",Good perceived mental health,34.3
2021-04,Quebec,"Total, all persons",Fair or poor perceived mental health,12.7
2021-04,Quebec,Men,Excellent or very good perceived mental health,60.1
2021-04,Quebec,Men,Good perceived mental health,29.3
2021-04,Quebec,Men,Fair or poor perceived mental health,10.5
2021-04,Quebec,Women,Excellent or very good perceived mental health,45.8
2021-04,Quebec,Women,Good perceived mental health,39.3
2021-04,Quebec,Women,Fair or poor perceived mental health,14.9
2021-04,Ontario,"Total, all persons",Excellent or very good perceived mental health,38.7
2021-04,Ontario,"Total, all persons",Good perceived mental health,36.7
2021-04,Ontario,"Total, all persons",Fair or poor perceived mental health,24.7
2021-04,Ontario,Men,Excellent or very good perceived mental health,43.6
2021-04,Ontario,Men,Good perceived mental health,37.1
2021-04,Ontario,Men,Fair or poor perceived mental health,19.2
2021-04,Ontario,Women,Excellent or very good perceived mental health,33.8
2021-04,Ontario,Women,Good perceived mental health,36.2
2021-04,Ontario,Women,Fair or poor perceived mental health,29.9
2021-04,Prairies Region,"Total, all persons",Excellent or very good perceived mental health,41.7
2021-04,Prairies Region,"Total, all persons",Good perceived mental health,34.4
2021-04,Prairies Region,"Total, all persons",Fair or poor perceived mental health,24
2021-04,Prairies Region,Men,Excellent or very good perceived mental health,47.2
2021-04,Prairies Region,Men,Good perceived mental health,33
2021-04,Prairies Region,Men,Fair or poor perceived mental health,19.9
2021-04,Prairies Region,Women,Excellent or very good perceived mental health,36.2
2021-04,Prairies Region,Women,Good perceived mental health,35.8
2021-04,Prairies Region,Women,Fair or poor perceived mental health,28.1
2021-04,Manitoba,"Total, all persons",Excellent or very good perceived mental health,43.2
2021-04,Manitoba,"Total, all persons",Good perceived mental health,33.2
2021-04,Manitoba,"Total, all persons",Fair or poor perceived mental health,23.6
2021-04,Manitoba,Men,Excellent or very good perceived mental health,47.5
2021-04,Manitoba,Men,Good perceived mental health,35.7
2021-04,Manitoba,Men,Fair or poor perceived mental health,16.8
2021-04,Manitoba,Women,Excellent or very good perceived mental health,38.9
2021-04,Manitoba,Women,Good perceived mental health,30.6
2021-04,Manitoba,Women,Fair or poor perceived mental health,30.5
2021-04,Saskatchewan,"Total, all persons",Excellent or very good perceived mental health,42.3
2021-04,Saskatchewan,"Total, all persons",Good perceived mental health,35.9
2021-04,Saskatchewan,"Total, all persons",Fair or poor perceived mental health,21.8
2021-04,Saskatchewan,Men,Excellent or very good perceived mental health,48.8
2021-04,Saskatchewan,Men,Good perceived mental health,30.9
2021-04,Saskatchewan,Men,Fair or poor perceived mental health,20.3
2021-04,Saskatchewan,Women,Excellent or very good perceived mental health,35.8
2021-04,Saskatchewan,Women,Good perceived mental health,41
2021-04,Saskatchewan,Women,Fair or poor perceived mental health,23.2
2021-04,Alberta,"Total, all persons",Excellent or very good perceived mental health,41.1
2021-04,Alberta,"Total, all persons",Good perceived mental health,34.3
2021-04,Alberta,"Total, all persons",Fair or poor perceived mental health,24.6
2021-04,Alberta,Men,Excellent or very good perceived mental health,46.7
2021-04,Alberta,Men,Good perceived mental health,32.6
2021-04,Alberta,Men,Fair or poor perceived mental health,20.7
2021-04,Alberta,Women,Excellent or very good perceived mental health,35.5
2021-04,Alberta,Women,Good perceived mental health,36
2021-04,Alberta,Women,Fair or poor perceived mental health,28.5
2021-04,British Columbia,"Total, all persons",Excellent or very good perceived mental health,41.7
2021-04,British Columbia,"Total, all persons",Good perceived mental health,35
2021-04,British Columbia,"Total, all persons",Fair or poor perceived mental health,23.3
2021-04,British Columbia,Men,Excellent or very good perceived mental health,43.3
2021-04,British Columbia,Men,Good perceived mental health,35.4
2021-04,British Columbia,Men,Fair or poor perceived mental health,21.3
2021-04,British Columbia,Women,Excellent or very good perceived mental health,40.2
2021-04,British Columbia,Women,Good perceived mental health,34.6
2021-04,British Columbia,Women,Fair or poor perceived mental health,25.1
2021-07,Canada (excluding territories),"Total, all persons",Excellent or very good perceived mental health,52
2021-07,Canada (excluding territories),"Total, all persons",Good perceived mental health,31.3
2021-07,Canada (excluding territories),"Total, all persons",Fair or poor perceived mental health,16.7
2021-07,Canada (excluding territories),Men,Excellent or very good perceived mental health,56.1
2021-07,Canada (excluding territories),Men,Good perceived mental health,29.3
2021-07,Canada (excluding territories),Men,Fair or poor perceived mental health,14.6
2021-07,Canada (excluding territories),Women,Excellent or very good perceived mental health,47.9
2021-07,Canada (excluding territories),Women,Good perceived mental health,33.4
2021-07,Canada (excluding territories),Women,Fair or poor perceived mental health,18.7
2021-07,Atlantic Region,"Total, all persons",Excellent or very good perceived mental health,52.6
2021-07,Atlantic Region,"Total, all persons",Good perceived mental health,30.6
2021-07,Atlantic Region,"Total, all persons",Fair or poor perceived mental health,16.8
2021-07,Atlantic Region,Men,Excellent or very good perceived mental health,58.6
2021-07,Atlantic Region,Men,Good perceived mental health,28
2021-07,Atlantic Region,Men,Fair or poor perceived mental health,13.5
2021-07,Atlantic Region,Women,Excellent or very good perceived mental health,46.9
2021-07,Atlantic Region,Women,Good perceived mental health,33.1
2021-07,Atlantic Region,Women,Fair or poor perceived mental health,20
2021-07,Newfoundland and Labrador,"Total, all persons",Excellent or very good perceived mental health,57
2021-07,Newfoundland and Labrador,"Total, all persons",Good perceived mental health,30.2
2021-07,Newfoundland and Labrador,"Total, all persons",Fair or poor perceived mental health,12.8
2021-07,Newfoundland and Labrador,Men,Excellent or very good perceived mental health,63.9
2021-07,Newfoundland and Labrador,Men,Good perceived mental health,27.6
2021-07,Newfoundland and Labrador,Men,Fair or poor perceived mental health,8.5
2021-07,Newfoundland and Labrador,Women,Excellent or very good perceived mental health,50.6
2021-07,Newfoundland and Labrador,Women,Good perceived mental health,32.6
2021-07,Newfoundland and Labrador,Women,Fair or poor perceived mental health,16.8
2021-07,Prince Edward Island,"Total, all persons",Excellent or very good perceived mental health,52.1
2021-07,Prince Edward Island,"Total, all persons",Good perceived mental health,31.4
2021-07,Prince Edward Island,"Total, all persons",Fair or poor perceived mental health,16.4
2021-07,Prince Edward Island,Men,Excellent or very good perceived mental health,59
2021-07,Prince Edward Island,Men,Good perceived mental health,28.6
2021-07,Prince Edward Island,Men,Fair or poor perceived mental health,12.3
2021-07,Prince Edward Island,Women,Excellent or very good perceived mental health,45.4
2021-07,Prince Edward Island,Women,Good perceived mental health,34.2
2021-07,Prince Edward Island,Women,Fair or poor perceived mental health,20.5
2021-07,Nova Scotia,"Total, all persons",Excellent or very good perceived mental health,50.8
2021-07,Nova Scotia,"Total, all persons",Good perceived mental health,30
2021-07,Nova Scotia,"Total, all persons",Fair or poor perceived mental health,19.2
2021-07,Nova Scotia,Men,Excellent or very good perceived mental health,56.4
2021-07,Nova Scotia,Men,Good perceived mental health,28.9
2021-07,Nova Scotia,Men,Fair or poor perceived mental health,14.7
2021-07,Nova Scotia,Women,Excellent or very good perceived mental health,45.5
2021-07,Nova Scotia,Women,Good perceived mental health,31.1
2021-07,Nova Scotia,Women,Fair or poor perceived mental health,23.4
2021-07,New Brunswick,"Total, all persons",Excellent or very good perceived mental health,51.9
2021-07,New Brunswick,"Total, all persons",Good perceived mental health,31.5
2021-07,New Brunswick,"Total, all persons",Fair or poor perceived mental health,16.6
2021-07,New Brunswick,Men,Excellent or very good perceived mental health,57.6
2021-07,New Brunswick,Men,Good perceived mental health,27
2021-07,New Brunswick,Men,Fair or poor perceived mental health,15.4
