REF_DATE,GEO,Gender,Sociodemographic_characteristics,Indicators,VALUE
2021-04,Canada (excluding territories),"Total, all persons","Total, 15 years and over",Excellent or very good perceived mental health,43.4
2021-04,Canada (excluding territories),"Total, all persons","Total, 15 years and over",Good perceived mental health,35.3
2021-04,Canada (excluding territories),"Total, all persons","Total, 15 years and over",Fair or poor perceived mental health,21.3
2021-04,Canada (excluding territories),"Total, all persons",15 to 24 years,Excellent or very good perceived mental health,35.9
2021-04,Canada (excluding territories),"Total, all persons",15 to 24 years,Good perceived mental health,34.9
2021-04,Canada (excluding territories),"Total, all persons",15 to 24 years,Fair or poor perceived mental health,29.3
2021-04,Canada (excluding territories),"Total, all persons",25 to 54 years,Excellent or very good perceived mental health,40.4
2021-04,Canada (excluding territories),"Total, all persons",25 to 54 years,Good perceived mental health,35.5
2021-04,Canada (excluding territories),"Total, all persons",25 to 54 years,Fair or poor perceived mental health,24.1
2021-04,Canada (excluding territories),"Total, all persons",25 to 34 years,Excellent or very good perceived mental health,37.6
2021-04,Canada (excluding territories),"Total, all persons",25 to 34 years,Good perceived mental health,33.8
2021-04,Canada (excluding territories),"Total, all persons",25 to 34 years,Fair or poor perceived mental health,28.6
2021-04,Canada (excluding territories),"Total, all persons",35 to 44 years,Excellent or very good perceived mental health,40.5
2021-04,Canada (excluding territories),"Total, all persons",35 to 44 years,Good perceived mental health,37.7
2021-04,Canada (excluding territories),"Total, all persons",35 to 44 years,Fair or poor perceived mental health,21.8
2021-04,Canada (excluding territories),"Total, all persons",45 to 54 years,Excellent or very good perceived mental health,43.3
2021-04,Canada (excluding territories),"Total, all persons",45 to 54 years,Good perceived mental health,35.1
2021-04,Canada (excluding territories),"Total, all persons",45 to 54 years,Fair or poor perceived mental health,21.5
2021-04,Canada (excluding territories),"Total, all persons",55 to 64 years,Excellent or very good perceived mental health,48.4
2021-04,Canada (excluding territories),"Total, all persons",55 to 64 years,Good perceived mental health,35.2
2021-04,Canada (excluding territories),"Total, all persons",55 to 64 years,Fair or poor perceived mental health,16.4
2021-04,Canada (excluding territories),"Total, all persons",65 years and over,Excellent or very good perceived mental health,51.3
2021-04,Canada (excluding territories),"Total, all persons",65 years and over,Good perceived mental health,35.3
2021-04,Canada (excluding territories),"Total, all persons",65 years and over,Fair or poor perceived mental health,13.4
2021-04,Canada (excluding territories),"Total, all persons",65 to 74 years,Excellent or very good perceived mental health,51.4
2021-04,Canada (excluding territories),"Total, all persons",65 to 74 years,Good perceived mental health,36.4
2021-04,Canada (excluding territories),"Total, all persons",65 to 74 years,Fair or poor perceived mental health,12.3
2021-04,Canada (excluding territories),"Total, all persons",75 years and over,Excellent or very good perceived mental health,51.2
2021-04,Canada (excluding territories),"Total, all persons",75 years and over,Good perceived mental health,33.7
2021-04,Canada (excluding territories),"Total, all persons",75 years and over,Fair or poor perceived mental health,15
2021-04,Canada (excluding territories),"Total, all persons","Total, by immigrant status",Excellent or very good perceived mental health,43.4
2021-04,Canada (excluding territories),"Total, all persons","Total, by immigrant status",Good perceived mental health,35.3
2021-04,Canada (excluding territories),"Total, all persons","Total, by immigrant status",Fair or poor perceived mental health,21.3
2021-04,Canada (excluding territories),"Total, all persons",Non-immigrants,Excellent or very good perceived mental health,43
2021-04,Canada (excluding territories),"Total, all persons",Non-immigrants,Good perceived mental health,35.3
2021-04,Canada (excluding territories),"Total, all persons",Non-immigrants,Fair or poor perceived mental health,21.7
2021-04,Canada (excluding territories),"Total, all persons",Immigrants,Excellent or very good perceived mental health,44.3
2021-04,Canada (excluding territories),"Total, all persons",Immigrants,Good perceived mental health,35
2021-04,Canada (excluding territories),"Total, all persons",Immigrants,Fair or poor perceived mental health,20.7
2021-04,Canada (excluding territories),"Total, all persons","Immigrants, 10 years or less in Canada",Excellent or very good perceived mental health,49.1
2021-04,Canada (excluding territories),"Total, all persons","Immigrants, 10 years or less in Canada",Good perceived mental health,30.5
2021-04,Canada (excluding territories),"Total, all persons","Immigrants, 10 years or less in Canada",Fair or poor perceived mental health,20.4
2021-04,Canada (excluding territories),"Total, all persons","Immigrants, more than 10 years in Canada",Excellent or very good perceived mental health,43
2021-04,Canada (excluding territories),"Total, all persons","Immigrants, more than 10 years in Canada",Good perceived mental health,36.1
2021-04,Canada (excluding territories),"Total, all persons","Immigrants, more than 10 years in Canada",Fair or poor perceived mental health,20.9
2021-04,Canada (excluding territories),"Total, all persons","Immigrants, years in Canada not stated",Excellent or very good perceived mental health,33.1
2021-04,Canada (excluding territories),"Total, all persons","Immigrants, years in Canada not stated",Good perceived mental health,48.1
2021-04,Canada (excluding territories),"Total, all persons","Immigrants, years in Canada not stated",Fair or poor perceived mental health,18.8
2021-04,Canada (excluding territories),"Total, all persons",Non-permanent residents,Excellent or very good perceived mental health,46.6
2021-04,Canada (excluding territories),"Total, all persons",Non-permanent residents,Good perceived mental health,39.2
2021-04,Canada (excluding territories),"Total, all persons",Non-permanent residents,Fair or poor perceived mental health,14.2
2021-04,Canada (excluding territories),"Total, all persons","Total, by visible minority group",Excellent or very good perceived mental health,43.4
2021-04,Canada (excluding territories),"Total, all persons","Total, by visible minority group",Good perceived mental health,35.3
2021-04,Canada (excluding territories),"Total, all persons","Total, by visible minority group",Fair or poor perceived mental health,21.3
2021-04,Canada (excluding territories),"Total, all persons",Visible minority population,Excellent or very good perceived mental health,42.9
2021-04,Canada (excluding territories),"Total, all persons",Visible minority population,Good perceived mental health,36.2
2021-04,Canada (excluding territories),"Total, all persons",Visible minority population,Fair or poor perceived mental health,20.9
2021-04,Canada (excluding territories),"Total, all persons",South Asian,Excellent or very good perceived mental health,42.6
2021-04,Canada (excluding territories),"Total, all persons",South Asian,Good perceived mental health,36.1
2021-04,Canada (excluding territories),"Total, all persons",South Asian,Fair or poor perceived mental health,21.3
2021-04,Canada (excluding territories),"Total, all persons",Chinese,Excellent or very good perceived mental health,39.4
2021-04,Canada (excluding territories),"Total, all persons",Chinese,Good perceived mental health,42.7
2021-04,Canada (excluding territories),"Total, all persons",Chinese,Fair or poor perceived mental health,18
2021-04,Canada (excluding territories),"Total, all persons",Black,Excellent or very good perceived mental health,47.3
2021-04,Canada (excluding territories),"Total, all persons",Black,Good perceived mental health,31.8
2021-04,Canada (excluding territories),"Total, all persons",Black,Fair or poor perceived mental health,20.9
2021-04,Canada (excluding territories),"Total, all persons",Filipino,Excellent or very good perceived mental health,49.5
2021-04,Canada (excluding territories),"Total, all persons",Filipino,Good perceived mental health,30.2
2021-04,Canada (excluding territories),"Total, all persons",Filipino,Fair or poor perceived mental health,20.3
2021-04,Canada (excluding territories),"Total, all persons",Arab,Excellent or very good perceived mental health,50.7
2021-04,Canada (excluding territories),"Total, all persons",Arab,Good perceived mental health,32.9
2021-04,Canada (excluding territories),"Total, all persons",Arab,Fair or poor perceived mental health,16.4
2021-04,Canada (excluding territories),"Total, all persons",Latin American,Excellent or very good perceived mental health,34.7
2021-04,Canada (excluding territories),"Total, all persons",Latin American,Good perceived mental health,33.2
2021-04,Canada (excluding territories),"Total, all persons",Latin American,Fair or poor perceived mental health,32.1
2021-04,Canada (excluding territories),"Total, all persons",Southeast Asian,Excellent or very good perceived mental health,29.2
2021-04,Canada (excluding territories),"Total, all persons",Southeast Asian,Good perceived mental health,42
2021-04,Canada (excluding territories),"Total, all persons",Southeast Asian,Fair or poor perceived mental health,28.8
2021-04,Canada (excluding territories),"Total, all persons",West Asian,Excellent or very good perceived mental health,NA
2021-04,Canada (excluding territories),"Total, all persons",West Asian,Good perceived mental health,NA
2021-04,Canada (excluding territories),"Total, all persons",West Asian,Fair or poor perceived mental health,NA
2021-04,Canada (excluding territories),"Total, all persons",Korean,Excellent or very good perceived mental health,NA
2021-04,Canada (excluding territories),"Total, all persons",Korean,Good perceived mental health,NA
2021-04,Canada (excluding territories),"Total, all persons",Korean,Fair or poor perceived mental health,NA
2021-04,Canada (excluding territories),"Total, all persons",Japanese,Excellent or very good perceived mental health,NA
2021-04,Canada (excluding territories),"Total, all persons",Japanese,Good perceived mental health,NA
2021-04,Canada (excluding territories),"Total, all persons",Japanese,Fair or poor perceived mental health,NA
2021-04,Canada (excluding territories),"Total, all persons","Visible minority, not included elsewhere",Excellent or very good perceived mental health,NA
2021-04,Canada (excluding territories),"Total, all persons","Visible minority, not included elsewhere",Good perceived mental health,NA
2021-04,Canada (excluding territories),"Total, all persons","Visible minority, not included elsewhere",Fair or poor perceived mental health,NA
2021-04,Canada (excluding territories),"Total, all persons",Multiple visible minorities,Excellent or very good perceived mental health,NA
2021-04,Canada (excluding territories),"Total, all persons",Multiple visible minorities,Good perceived mental health,NA
2021-04,Canada (excluding territories),"Total, all persons",Multiple visible minorities,Fair or poor perceived mental health,NA
2021-04,Canada (excluding territories),"Total, all persons",Not a visible minority,Excellent or very good perceived mental health,43.6
